city,property_type,area_sqft,bedrooms,price,year_listed
Lucknow,Plot,2147,0,5489106,2024
Delhi,Independent House,1360,3,23464068,2024
Delhi,Apartment,1929,1,22900709,2024
Lucknow,Apartment,1493,3,6489180,2023
Pune,Plot,1855,0,6700830,2021
Hyderabad,Apartment,657,1,4461387,2022
Bengaluru,Studio,349,1,2325697,2022
Hyderabad,Villa,3578,3,59295416,2024
Mumbai,Studio,596,1,4127439,2022
Delhi,Apartment,1956,2,22063289,2021
Bengaluru,Apartment,708,2,7639831,2022
Bengaluru,Villa,2760,4,64867693,2025
Lucknow,Studio,552,1,1708918,2022
Bengaluru,Independent House,1502,2,23281425,2025
Hyderabad,Independent House,1850,4,23422652,2025
Bengaluru,Independent House,1518,4,21861899,2021
Bengaluru,Apartment,1121,1,11523228,2023
Pune,Apartment,1179,2,11219836,2025
Lucknow,Plot,2712,0,4983900,2022
Delhi,Plot,4179,0,27007908,2025
Hyderabad,Studio,525,1,2368931,2021
Mumbai,Studio,550,1,5365929,2024
Delhi,Studio,379,1,3473776,2025
Lucknow,Villa,2533,4,27229910,2025
Lucknow,Villa,3804,3,32162559,2022
Mumbai,Plot,3896,0,28226392,2025
Lucknow,Independent House,1843,3,10947188,2022
Hyderabad,Independent House,2428,4,20741305,2023
Mumbai,Apartment,1754,1,19345796,2021
Lucknow,Independent House,2574,2,15298039,2021
Pune,Villa,2688,4,40775052,2022
Pune,Plot,1418,0,6142938,2025
Lucknow,Plot,4476,0,9549927,2022
Hyderabad,Independent House,1450,2,16691563,2024
Lucknow,Independent House,2305,2,12555841,2022
Hyderabad,Apartment,1807,1,14288116,2025
Lucknow,Independent House,2048,3,9860097,2022
Hyderabad,Plot,3219,0,10722253,2023
Hyderabad,Plot,1568,0,5249531,2022
Hyderabad,Apartment,1988,1,14074921,2021
Bengaluru,Studio,331,1,2475307,2024
Bengaluru,Villa,2690,5,60702437,2022
Mumbai,Apartment,1824,1,26412194,2024
Mumbai,Apartment,838,2,9459328,2021
Lucknow,Villa,2248,3,20873070,2025
Hyderabad,Apartment,1615,2,11130405,2021
Lucknow,Villa,2703,4,25400200,2025
Mumbai,Apartment,1406,1,16414303,2024
Lucknow,Plot,1941,0,4661550,2025
Pune,Studio,410,1,2253043,2022
Hyderabad,Villa,2095,4,26116455,2022
Bengaluru,Villa,4212,4,64086534,2021
Mumbai,Villa,2784,4,73070686,2022
Hyderabad,Villa,4624,5,61539895,2024
Delhi,Plot,4397,0,22314891,2023
Bengaluru,Apartment,1592,3,12438246,2022
Bengaluru,Apartment,605,1,6982974,2025
Mumbai,Plot,2680,0,19442545,2022
Delhi,Independent House,2154,3,34149300,2025
Delhi,Independent House,1116,4,17212815,2021
Pune,Independent House,1322,3,12376768,2022
Hyderabad,Independent House,1667,4,18338149,2023
Bengaluru,Independent House,1540,3,23141124,2023
Lucknow,Villa,4302,3,38841777,2024
Hyderabad,Apartment,928,3,5294507,2021
Mumbai,Studio,305,1,3020667,2023
Lucknow,Studio,335,1,1424972,2025
Pune,Studio,435,1,2728263,2025
Lucknow,Independent House,1753,2,10102134,2024
Bengaluru,Apartment,870,1,8635176,2025
Delhi,Independent House,2227,2,47973133,2025
Hyderabad,Plot,1281,0,5717652,2025
Lucknow,Villa,2743,4,25651819,2024
Delhi,Plot,4971,0,33944221,2024
Delhi,Villa,3439,3,65481473,2021
Delhi,Plot,2863,0,17231427,2024
Hyderabad,Independent House,1385,4,14669861,2024
Bengaluru,Studio,571,1,4156633,2023
Hyderabad,Plot,1654,0,5832272,2024
Bengaluru,Plot,3441,0,15622204,2022
Mumbai,Apartment,1590,2,19618266,2022
Hyderabad,Villa,4182,5,66371542,2025
Hyderabad,Plot,4660,0,13686481,2023
Pune,Independent House,1993,3,24499359,2025
Bengaluru,Villa,2407,4,46703212,2025
Hyderabad,Studio,346,1,1938996,2025
Bengaluru,Studio,594,1,3921638,2021
Lucknow,Studio,333,1,1077622,2022
Mumbai,Apartment,1776,2,24639568,2024
Pune,Independent House,1989,3,21586800,2025
Pune,Villa,2449,3,38506581,2024
Hyderabad,Plot,1751,0,6096926,2024
Delhi,Plot,3506,0,19812941,2022
Lucknow,Studio,597,1,1978204,2023
Hyderabad,Villa,2884,3,46804453,2025
Delhi,Apartment,1348,1,16538959,2025
Delhi,Villa,4139,5,89520183,2023
Delhi,Independent House,1418,2,28881264,2025
Mumbai,Apartment,1508,1,18309810,2021
Hyderabad,Villa,3798,5,51820465,2022
Hyderabad,Plot,2664,0,7023185,2022
Lucknow,Independent House,1122,3,7535197,2024
Bengaluru,Apartment,1111,1,12198948,2025
Pune,Apartment,1060,2,7164377,2021
Mumbai,Independent House,1795,2,36701379,2024
Pune,Apartment,662,1,4907631,2025
Lucknow,Villa,2183,4,15252328,2022
Lucknow,Studio,357,1,852913,2021
Bengaluru,Studio,303,1,2116356,2023
Pune,Plot,3332,0,14554048,2025
Bengaluru,Apartment,773,2,8160996,2024
Bengaluru,Studio,311,1,2183520,2022
Bengaluru,Apartment,1036,1,10791038,2024
Mumbai,Studio,473,1,5100157,2023
Lucknow,Studio,394,1,1076683,2021
Pune,Plot,1946,0,6649186,2022
Mumbai,Apartment,1463,3,15165013,2021
Hyderabad,Villa,2749,3,31756637,2021
Bengaluru,Independent House,1331,4,17401160,2021
Lucknow,Apartment,1966,1,8660869,2025
Pune,Villa,2672,4,34683930,2021
Mumbai,Apartment,1806,1,24719792,2024
Delhi,Independent House,1176,2,16571784,2022
Hyderabad,Apartment,1271,3,10468453,2025
Delhi,Studio,365,1,1812636,2021
Hyderabad,Independent House,1667,4,15545264,2021
Hyderabad,Villa,3313,5,44222250,2022
Lucknow,Apartment,1691,2,8835432,2023
Delhi,Apartment,1773,1,24917857,2024
Lucknow,Plot,1890,0,4088500,2021
Lucknow,Villa,4718,5,39670864,2024
Lucknow,Villa,2184,4,16956916,2022
Bengaluru,Studio,486,1,3273782,2022
Lucknow,Independent House,2743,3,14327502,2021
Lucknow,Villa,2346,5,23705343,2022
Hyderabad,Apartment,605,1,3941095,2022
Delhi,Villa,3114,3,74617967,2022
Hyderabad,Studio,332,1,1890533,2024
Delhi,Apartment,1250,2,13803802,2023
Mumbai,Studio,578,1,6489225,2025
Delhi,Studio,436,1,3054645,2022
Bengaluru,Independent House,1209,2,18957424,2025
Delhi,Studio,422,1,3814646,2024
Bengaluru,Studio,365,1,2222975,2024
Hyderabad,Villa,2948,4,36756699,2022
Hyderabad,Independent House,1811,4,18811131,2021
Pune,Independent House,1911,4,24367424,2022
Delhi,Studio,582,1,4465208,2023
Lucknow,Studio,444,1,1452242,2021
Lucknow,Apartment,1315,3,5427089,2022
Lucknow,Apartment,951,3,3689892,2022
Mumbai,Plot,3101,0,21211747,2025
Hyderabad,Studio,312,1,1638601,2023
Pune,Independent House,1675,2,18877795,2024
Lucknow,Villa,2134,4,19565542,2022
Pune,Independent House,1233,4,10831075,2021
Hyderabad,Plot,1887,0,6717991,2023
Mumbai,Apartment,1524,1,17696146,2025
Bengaluru,Plot,2464,0,13851084,2025
Pune,Independent House,2312,3,26827221,2024
